  Token        Position  
-------------------------
define                -1
int                   -1
a                      0
;                     -1
define                -1
int                   -1
b                      1
;                     -1
define                -1
int                   -1
c                      2
;                     -1
read                  -1
(                     -1
a                      0
,                     -1
stdin                 -1
)                     -1
;                     -1
read                  -1
(                     -1
b                      1
,                     -1
stdin                 -1
)                     -1
;                     -1
read                  -1
(                     -1
c                      2
,                     -1
stdin                 -1
)                     -1
;                     -1
define                -1
int                   -1
minmimum_between_a_b   3
;                     -1
if                    -1
a                      0
<                     -1
b                      1
{                     -1
minmimum_between_a_b   3
=                     -1
a                      0
;                     -1
}                     -1
fi                    -1
{                     -1
minmimum_between_b_a   4
=                     -1
b                      1
;                     -1
}                     -1
if                    -1
minmimum_between_a_b   3
<                     -1
c                      2
{                     -1
show                  -1
(                     -1
minmimum_between_a_b   3
,                     -1
stdout                -1
)                     -1
;                     -1
}                     -1
fi                    -1
{                     -1
show                  -1
(                     -1
c                      2
,                     -1
stdout                -1
)                     -1
;                     -1
}                     -1
